module1,module2,relationship
CSY2026,CSY1017,OPTIONAL_PRE_REQUISITE
CSY2026,CSY1018,OPTIONAL_PRE_REQUISITE
CSY2030,CSY1014,OPTIONAL_PRE_REQUISITE
CSY2030,CSY1017,OPTIONAL_PRE_REQUISITE
CSY2030,CSY1018,OPTIONAL_PRE_REQUISITE
CSY2030,CSY1019,OPTIONAL_PRE_REQUISITE
CSY2034,CSY1014,OPTIONAL_PRE_REQUISITE
CSY2034,CSY1017,OPTIONAL_PRE_REQUISITE
CSY2034,CSY1018,OPTIONAL_PRE_REQUISITE
CSY2034,CSY1019,OPTIONAL_PRE_REQUISITE
CSY2027C,CSY1014,OPTIONAL_PRE_REQUISITE
CSY2027C,CSY1017,OPTIONAL_PRE_REQUISITE
CSY2027C,CSY1018,OPTIONAL_PRE_REQUISITE
CSY2027C,CSY1019,OPTIONAL_PRE_REQUISITE
CSY2027GV,CSY1014,OPTIONAL_PRE_REQUISITE
CSY2027GV,CSY1017,OPTIONAL_PRE_REQUISITE
CSY2027GV,CSY1018,OPTIONAL_PRE_REQUISITE
CSY2027GV,CSY1019,OPTIONAL_PRE_REQUISITE
CSY2027CN,CSY1014,OPTIONAL_PRE_REQUISITE
CSY2027CN,CSY1017,OPTIONAL_PRE_REQUISITE
CSY2027CN,CSY1018,OPTIONAL_PRE_REQUISITE
CSY2027CN,CSY1019,OPTIONAL_PRE_REQUISITE
CSY2027CS,CSY1014,OPTIONAL_PRE_REQUISITE
CSY2027CS,CSY1017,OPTIONAL_PRE_REQUISITE
CSY2027CS,CSY1018,OPTIONAL_PRE_REQUISITE
CSY2027CS,CSY1019,OPTIONAL_PRE_REQUISITE
CSY2027WT,CSY1014,OPTIONAL_PRE_REQUISITE
CSY2027WT,CSY1017,OPTIONAL_PRE_REQUISITE
CSY2027WT,CSY1018,OPTIONAL_PRE_REQUISITE
CSY2027WT,CSY1019,OPTIONAL_PRE_REQUISITE
CSY2027MC,CSY1014,OPTIONAL_PRE_REQUISITE
CSY2027MC,CSY1017,OPTIONAL_PRE_REQUISITE
CSY2027MC,CSY1018,OPTIONAL_PRE_REQUISITE
CSY2027MC,CSY1019,OPTIONAL_PRE_REQUISITE
CSY2027SE,CSY1014,OPTIONAL_PRE_REQUISITE
CSY2027SE,CSY1017,OPTIONAL_PRE_REQUISITE
CSY2027SE,CSY1018,OPTIONAL_PRE_REQUISITE
CSY2027SE,CSY1019,OPTIONAL_PRE_REQUISITE
CSY3010,CSY2028,OPTIONAL_PRE_REQUISITE
CSY3010,CSY2030,OPTIONAL_PRE_REQUISITE
CSY3021,CSY2001,OPTIONAL_PRE_REQUISITE
CSY3021,CSY2026,OPTIONAL_PRE_REQUISITE
CSY3025,CSY2028,OPTIONAL_PRE_REQUISITE
CSY3025,CSY2030,OPTIONAL_PRE_REQUISITE
CSY3029,CSY2001,OPTIONAL_PRE_REQUISITE
CSY3029,CSY2026,OPTIONAL_PRE_REQUISITE
